fromNode	toNode	altNode1Name
ENSG00000224189	hsa-miR-125a-3p	HAGLR
ENSG00000249859	hsa-miR-93-5p	PVT1
ENSG00000249859	hsa-miR-106a-5p	PVT1
ENSG00000232956	hsa-miR-24-3p	SNHG15
ENSG00000163597	hsa-miR-485-5p	SNHG16
ENSG00000163597	hsa-miR-183-5p	SNHG16
ENSG00000163597	hsa-miR-505-3p	SNHG16
ENSG00000163597	hsa-miR-216a-5p	SNHG16
ENSG00000255717	hsa-miR-326	SNHG1
ENSG00000255717	hsa-miR-330-5p	SNHG1
ENSG00000255717	hsa-miR-421	SNHG1
ENSG00000255717	hsa-miR-377-3p	SNHG1
ENSG00000255717	hsa-miR-21-5p	SNHG1
ENSG00000234456	hsa-miR-374b-5p	MAGI2-AS3
ENSG00000234456	hsa-miR-374a-5p	MAGI2-AS3
ENSG00000215417	hsa-miR-4295	MIR17HG
ENSG00000215417	hsa-miR-130a-3p	MIR17HG
ENSG00000215417	hsa-miR-454-3p	MIR17HG
ENSG00000215417	hsa-miR-301a-3p	MIR17HG
ENSG00000215417	hsa-miR-301b-3p	MIR17HG
ENSG00000215417	hsa-miR-130b-3p	MIR17HG
ENSG00000215417	hsa-miR-3666	MIR17HG
ENSG00000197989	hsa-miR-494-3p	SNHG12
ENSG00000242125	hsa-miR-340-5p	SNHG3
ENSG00000234912	hsa-miR-495-3p	SNHG20
ENSG00000233016	hsa-miR-342-3p	SNHG7
ENSG00000234741	hsa-miR-485-5p	GAS5
ENSG00000269821	hsa-miR-148b-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-152-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-148a-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-214-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-761	KCNQ1OT1
ENSG00000269821	hsa-miR-3619-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-29c-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-29b-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-29a-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-377-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-326	KCNQ1OT1
ENSG00000269821	hsa-miR-330-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-7-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-140-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-24-3p	KCNQ1OT1
