gene	symbol	type	numInteractions
ENSG00000006625	GGCT	pc	3
ENSG00000006634	DBF4	pc	1
ENSG00000013573	DDX11	pc	1
ENSG00000020577	SAMD4A	pc	6
ENSG00000025772	TOMM34	pc	4
ENSG00000031003	FAM13B	pc	5
ENSG00000035862	TIMP2	pc	5
ENSG00000047634	SCML1	pc	4
ENSG00000059588	TARBP1	pc	4
ENSG00000065320	NTN1	pc	2
ENSG00000065534	MYLK	pc	2
ENSG00000066468	FGFR2	pc	2
ENSG00000068650	ATP11A	pc	13
ENSG00000071073	MGAT4A	pc	2
ENSG00000071967	CYBRD1	pc	2
ENSG00000072571	HMMR	pc	1
ENSG00000079308	TNS1	pc	2
ENSG00000079335	CDC14A	pc	2
ENSG00000081052	COL4A4	pc	3
ENSG00000082397	EPB41L3	pc	1
ENSG00000082512	TRAF5	pc	3
ENSG00000091127	PUS7	pc	1
ENSG00000092445	TYRO3	pc	1
ENSG00000097046	CDC7	pc	1
ENSG00000100036	SLC35E4	pc	2
ENSG00000100784	RPS6KA5	pc	5
ENSG00000101057	MYBL2	pc	3
ENSG00000101224	CDC25B	pc	4
ENSG00000101255	TRIB3	pc	1
ENSG00000101945	SUV39H1	pc	5
ENSG00000101955	SRPX	pc	3
ENSG00000102898	NUTF2	pc	1
ENSG00000103034	NDRG4	pc	2
ENSG00000103257	SLC7A5	pc	3
ENSG00000103494	RPGRIP1L	pc	1
ENSG00000104081	BMF	pc	3
ENSG00000105173	CCNE1	pc	3
ENSG00000105464	GRIN2D	pc	1
ENSG00000105821	DNAJC2	pc	1
ENSG00000105974	CAV1	pc	1
ENSG00000105976	MET	pc	5
ENSG00000106089	STX1A	pc	3
ENSG00000106299	WASL	pc	2
ENSG00000106344	RBM28	pc	1
ENSG00000106829	TLE4	pc	2
ENSG00000108821	COL1A1	pc	5
ENSG00000109436	TBC1D9	pc	2
ENSG00000111110	PPM1H	pc	1
ENSG00000111490	TBC1D30	pc	1
ENSG00000111913	RIPOR2	pc	2
ENSG00000111962	UST	pc	2
ENSG00000112773	FAM46A	pc	2
ENSG00000113140	SPARC	pc	3
ENSG00000113448	PDE4D	pc	2
ENSG00000113580	NR3C1	pc	2
ENSG00000114270	COL7A1	pc	3
ENSG00000115380	EFEMP1	pc	2
ENSG00000116337	AMPD2	pc	2
ENSG00000117020	AKT3	pc	7
ENSG00000117114	ADGRL2	pc	2
ENSG00000117385	P3H1	pc	3
ENSG00000119042	SATB2	pc	5
ENSG00000119938	PPP1R3C	pc	2
ENSG00000119969	HELLS	pc	3
ENSG00000120256	LRP11	pc	1
ENSG00000122707	RECK	pc	2
ENSG00000123700	KCNJ2	pc	2
ENSG00000124225	PMEPA1	pc	5
ENSG00000124766	SOX4	pc	6
ENSG00000126821	SGPP1	pc	2
ENSG00000127418	FGFRL1	pc	1
ENSG00000129682	FGF13	pc	2
ENSG00000130449	ZSWIM6	pc	2
ENSG00000130600	H19	lnc	12
ENSG00000131188	PRR7	pc	1
ENSG00000131389	SLC6A6	pc	5
ENSG00000133612	AGAP3	pc	1
ENSG00000134013	LOXL2	pc	3
ENSG00000134323	MYCN	pc	5
ENSG00000134901	KDELC1	pc	3
ENSG00000134982	APC	pc	2
ENSG00000135299	ANKRD6	pc	2
ENSG00000135540	NHSL1	pc	5
ENSG00000135632	SMYD5	pc	3
ENSG00000135912	TTLL4	pc	1
ENSG00000136295	TTYH3	pc	5
ENSG00000136492	BRIP1	pc	1
ENSG00000137449	CPEB2	pc	7
ENSG00000137558	PI15	pc	5
ENSG00000137692	DCUN1D5	pc	2
ENSG00000137804	NUSAP1	pc	1
ENSG00000137941	TTLL7	pc	2
ENSG00000138035	PNPT1	pc	1
ENSG00000138411	HECW2	pc	5
ENSG00000139163	ETNK1	pc	2
ENSG00000139926	FRMD6	pc	6
ENSG00000142632	ARHGEF19	pc	3
ENSG00000143507	DUSP10	pc	2
ENSG00000143515	ATP8B2	pc	2
ENSG00000143995	MEIS1	pc	2
ENSG00000146122	DAAM2	pc	3
ENSG00000147799	ARHGAP39	pc	1
ENSG00000148516	ZEB1	pc	5
ENSG00000149636	DSN1	pc	1
ENSG00000150907	FOXO1	pc	2
ENSG00000151503	NCAPD3	pc	1
ENSG00000152413	HOMER1	pc	5
ENSG00000152455	SUV39H2	pc	2
ENSG00000154856	APCDD1	pc	3
ENSG00000155545	MIER3	pc	7
ENSG00000156218	ADAMTSL3	pc	2
