"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000225335","AC016027.1","long_non_coding",-2.39017504461635,0.693500896531596,-25.2391206550486,6.54917609858087e-87,3.23572960443886e-84,187.457383286234
"ENSG00000229619","MBNL1-AS1","long_non_coding",-2.45041688754417,1.27930728138065,-19.5103683579199,3.41816200842678e-61,3.1864149238303e-59,128.589339279051
"ENSG00000237686","AL109615.3","long_non_coding",4.54175916658318,0.0375155237614942,18.7295155755555,1.11844809844578e-57,8.38690663870499e-56,120.227821833377
"ENSG00000280798","LINC00294","long_non_coding",-1.19337580496599,3.02774661020684,-18.3691671904116,4.63739097439177e-56,3.13860315170935e-54,116.78884497182
"ENSG00000265688","MAFG-AS1","long_non_coding",2.99736391263174,2.22947472954035,18.247489439775,1.62821580017863e-55,1.06314601719153e-53,115.4431370364
"ENSG00000186594","MIR22HG","long_non_coding",-1.93993225803799,3.35316411792445,-17.7564207107268,2.55995841006573e-53,1.476408698599e-51,110.460854813455
"ENSG00000203497","PDCD4-AS1","long_non_coding",-1.46615469432006,0.413753656501785,-17.1786746074384,9.56784936848871e-51,4.71145060929368e-49,104.67693507699
"ENSG00000229155","LINC02038","long_non_coding",-2.02972387477296,0.0886208651647366,-16.5548905541703,5.50640249517077e-48,2.22386642461638e-46,98.3715351196194
"ENSG00000224189","HAGLR","long_non_coding",-2.98785943288645,2.76809518214422,-16.2833102683629,8.62633626392254e-47,3.22064373057581e-45,95.4902593904997
"ENSG00000272686","AC006333.2","long_non_coding",-1.35267889777859,2.32594997438595,-16.1467892110154,3.42622272534373e-46,1.24164971234828e-44,94.2010318774185
"ENSG00000249859","PVT1","long_non_coding",2.63236807068124,3.48118905612134,15.9863503829172,1.72664297147244e-45,5.89684380718076e-44,92.6658457889544
"ENSG00000272106","AL691432.2","long_non_coding",-1.28067523500987,1.73254935505831,-15.5219447390092,1.82070841926131e-43,5.47394324346675e-42,88.0069887163962
"ENSG00000281406","BLACAT1","long_non_coding",5.19928533815584,1.45828969914243,15.0888698896417,1.35501222665152e-41,3.55468871211129e-40,83.6985682683931
"ENSG00000253929","CASC21","long_non_coding",5.58008384001726,-0.394974142681523,14.7017778873286,6.18590433811072e-40,1.4646561357744e-38,79.9196579755517
"ENSG00000232956","SNHG15","long_non_coding",1.80684845338378,4.63808821367943,14.4374056981518,8.25618734790039e-39,1.84853789834712e-37,77.3184950155531
"ENSG00000163597","SNHG16","long_non_coding",1.23877833447662,4.6670665370455,14.2068450891687,7.80857868887857e-38,1.62326442253237e-36,75.03272974262
