"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-21-5p",6.83993360795594,17.4014525820804,29.6299804802844,6.17945767694515e-102,2.78075595462532e-99,221.083652797725,"hsa-miR-21-5p","miRNA"
"hsa-miR-101-3p",5.56887657296847,12.46391554439,23.1588236495089,2.71535987552217e-75,6.10955971992487e-73,160.493113277024,"hsa-miR-101-3p","miRNA"
"hsa-miR-197-3p",-4.46088361243232,7.85786423030562,-20.6788876328978,1.08332003553802e-64,1.62498005330702e-62,136.422419323043,"hsa-miR-197-3p","miRNA"
"hsa-miR-328-3p",-5.0953063669874,3.78112660939286,-19.7398267893369,1.18164503473308e-60,1.32935066407472e-58,127.19459805791,"hsa-miR-328-3p","miRNA"
"hsa-miR-106b-5p",5.20450587895709,8.01938983982234,17.6617357718399,9.91079134432353e-52,8.91971220989117e-50,106.539426625545,"hsa-miR-106b-5p","miRNA"
"hsa-let-7d-3p",-3.80666386778991,8.50293947456293,-16.2369696172318,1.14050739488785e-45,8.55380546165889e-44,93.0700578123951,"hsa-let-7d-3p","miRNA"
"hsa-miR-1976",-3.90291125543493,2.84295216262311,-16.0834318951566,5.07267907614785e-45,2.92631016332501e-43,91.5751028591372,"hsa-miR-1976","miRNA"
"hsa-miR-29b-3p",6.01112379460869,9.44523711560481,16.0756154060137,5.47270317120756e-45,2.92631016332501e-43,91.3447863371762,"hsa-miR-29b-3p","miRNA"
"hsa-miR-374a-3p",8.28395546356524,9.5776389211452,16.0687031516225,5.85262032665001e-45,2.92631016332501e-43,91.1010524669832,"hsa-miR-374a-3p","miRNA"
"hsa-miR-766-3p",-3.96766756582518,2.50358707654262,-15.8052329238901,7.52478784042833e-44,3.38615452819275e-42,88.9045231726438,"hsa-miR-766-3p","miRNA"
"hsa-miR-24-3p",2.55871839308987,10.844612168931,15.3288815403501,7.44133273203181e-42,2.79049977451193e-40,84.3670540654164,"hsa-miR-24-3p","miRNA"
"hsa-miR-32-5p",5.81708103743566,4.66050634231013,15.3321495130265,7.21126221333463e-42,2.79049977451193e-40,84.100820870263,"hsa-miR-32-5p","miRNA"
"hsa-miR-139-5p",-4.85667635500971,4.3162667694453,-15.3199023616242,8.11191227052033e-42,2.80796963210319e-40,84.2831388067475,"hsa-miR-139-5p","miRNA"
"hsa-miR-126-3p",3.89775841867299,10.7590554619648,15.282116469872,1.16615365376608e-41,3.74835102996241e-40,83.9202769948082,"hsa-miR-126-3p","miRNA"
"hsa-miR-1306-5p",-3.91076245016989,2.47027428637859,-15.2410143672663,1.73027465721543e-41,5.19082397164629e-40,83.5248831778906,"hsa-miR-1306-5p","miRNA"
"hsa-let-7a-3p",4.96316254384356,4.60489622078638,15.1442709603311,4.37520981356813e-41,1.23052776006604e-39,82.3323101430966,"hsa-let-7a-3p","miRNA"
"hsa-miR-140-5p",4.03231742049317,5.05342641875161,14.8301389545094,8.80309371977472e-40,2.3302306905286e-38,79.3905046474707,"hsa-miR-140-5p","miRNA"
"hsa-miR-125a-5p",-3.86166866493601,7.80372459049533,-14.8006867877329,1.16543665332823e-39,2.91359163332057e-38,79.3720212046297,"hsa-miR-125a-5p","miRNA"
"hsa-miR-141-5p",5.10237182235755,9.25824859028282,14.6936318809049,3.2273807079429e-39,7.64379641354897e-38,78.3039424187888,"hsa-miR-141-5p","miRNA"
"hsa-miR-19b-3p",6.90566423221126,7.51493946166917,14.464250733472,2.84197122219262e-38,6.3944352499334e-37,75.9796759933136,"hsa-miR-19b-3p","miRNA"
"hsa-miR-30e-5p",4.4142404823734,12.1098581660763,14.378376055268,6.40037600781806e-38,1.37150914453244e-36,75.4026500922717,"hsa-miR-30e-5p","miRNA"
"hsa-miR-671-3p",-3.77400019290649,1.28340720754241,-14.350744521071,8.30850285715333e-38,1.69946649350864e-36,75.1219853493064,"hsa-miR-671-3p","miRNA"
"hsa-miR-26b-5p",3.53454955366565,9.05089651285384,14.228075555209,2.64115261433486e-37,5.16747250630733e-36,73.9925938026445,"hsa-miR-26b-5p","miRNA"
"hsa-miR-126-5p",5.77142975194763,7.03246206932922,14.0457146846237,1.46555973619104e-36,2.74792450535821e-35,72.1195637243827,"hsa-miR-126-5p","miRNA"
"hsa-miR-424-5p",6.64030452711205,6.76033998740581,13.8343585763157,1.05848948837923e-35,1.90528107908262e-34,70.1711454924416,"hsa-miR-424-5p","miRNA"
"hsa-miR-889-3p",4.8012544136963,3.73933472991379,13.8227558715422,1.17950936672667e-35,2.04145851933462e-34,70.063870770987,"hsa-miR-889-3p","miRNA"
"hsa-miR-24-2-5p",4.28630300937384,4.57620677616986,13.7813477897056,1.7353301138791e-35,2.89221685646517e-34,69.685589201243,"hsa-miR-24-2-5p","miRNA"
"hsa-miR-335-5p",5.37842279277397,4.05184070546156,13.752880199617,2.2623659743998e-35,3.63594531599969e-34,69.4250879081617,"hsa-miR-335-5p","miRNA"
"hsa-miR-582-3p",5.57381466350724,8.20637253668258,13.6834141573857,4.31803694717732e-35,6.70040215941308e-34,68.8578133724649,"hsa-miR-582-3p","miRNA"
"hsa-miR-374a-5p",5.49506292398298,4.79933550190736,13.6101620834807,8.52674029713088e-35,1.27901104456963e-33,68.1236886151079,"hsa-miR-374a-5p","miRNA"
"hsa-miR-141-3p",5.32099580724872,9.75831077512131,13.564058398583,1.30762316184694e-34,1.89816265429394e-33,67.8456887164581,"hsa-miR-141-3p","miRNA"
"hsa-miR-423-3p",-2.93888696852959,6.4287236165857,-13.5192344432395,1.98069042732669e-34,2.78534591342815e-33,67.452623217466,"hsa-miR-423-3p","miRNA"
"hsa-miR-542-3p",6.27090972981403,6.97470584459719,13.4883489422462,2.63603870476002e-34,3.59459823376367e-33,67.0166980139926,"hsa-miR-542-3p","miRNA"
"hsa-miR-142-5p",6.588767350277,6.10859834995738,13.3014710697868,1.47871283459835e-33,1.95711992814488e-32,65.3246144077147,"hsa-miR-142-5p","miRNA"
"hsa-miR-378a-5p",-3.63638142559803,6.79953047539155,-13.284663002768,1.72606935207739e-33,2.2192320240995e-32,65.31030952736,"hsa-miR-378a-5p","miRNA"
"hsa-miR-2355-5p",4.44637314321683,4.78513313826581,13.2622675824089,2.12087177853487e-33,2.65108972316859e-32,64.9704670235595,"hsa-miR-2355-5p","miRNA"
"hsa-miR-486-5p",-5.63968185092702,5.58219185986831,-13.2496626238451,2.38143751808589e-33,2.89634292740176e-32,64.9915509513331,"hsa-miR-486-5p","miRNA"
"hsa-miR-379-5p",4.35348948631009,9.34234908133387,13.2096817522794,3.4383033485612e-33,4.071675018033e-32,64.626284319141,"hsa-miR-379-5p","miRNA"
"hsa-miR-98-5p",4.38097630545094,5.51535812329993,13.1597626882667,5.43558584291307e-33,6.27182981874586e-32,64.0508442130147,"hsa-miR-98-5p","miRNA"
