"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000142959","BEST4","protein_coding",-6.37530887502145,0.428004367991701,-43.3765283193042,3.41485128560319e-159,5.06149257552104e-155,353.118885958752
"ENSG00000163815","CLEC3B","protein_coding",-4.46967517195582,1.2724111125959,-42.6172865730646,1.62773367308731e-156,1.20631342512501e-152,347.048263620154
"ENSG00000111846","GCNT2","protein_coding",-4.43771926431051,0.560657839651268,-35.230120944601,7.21014847969209e-129,3.5622940255332e-125,283.710464137789
"ENSG00000269404","SPIB","protein_coding",-5.68115206758024,0.620977969837798,-34.5147664691957,4.91753785335421e-126,1.8221936515604e-122,277.268907946284
"ENSG00000133800","LYVE1","protein_coding",-4.87121986544535,0.899533538842513,-33.8449515036605,2.34610549344418e-123,6.95479512476592e-120,271.136555783191
"ENSG00000118777","ABCG2","protein_coding",-5.04667224149742,1.17265683974561,-32.7462442002104,6.5546577538809e-119,1.61921895380038e-115,260.962429333962
"ENSG00000036672","USP2","protein_coding",-4.23925158159208,1.18206751211808,-31.8354320313891,3.5586952520853e-115,7.53528300377262e-112,252.389486514998
"ENSG00000187699","C2orf88","protein_coding",-4.20689875750481,2.89043696642536,-31.5276169540474,6.65842273639895e-114,1.23363927248632e-110,249.520779689947
"ENSG00000168309","FAM107A","protein_coding",-3.8601628889254,1.15656832174668,-30.7936873574356,7.52177781958241e-111,1.23875323157612e-107,242.464248097671
"ENSG00000168079","SCARA5","protein_coding",-5.95004991975446,1.20413666120434,-29.0960072165128,1.10381510680603e-103,1.6360747513079e-100,226.051333404714
"ENSG00000197165","SULT1A2","protein_coding",-4.19541081769314,0.358145892677388,-29.0656666906196,1.48684931192189e-103,2.00346186375511e-100,225.692694665071
"ENSG00000133742","CA1","protein_coding",-9.83174409370084,0.715280534177622,-28.8456865200833,1.29291843223117e-102,1.59696975021087e-99,223.549594494816
"ENSG00000113594","LIFR","protein_coding",-3.91028459871634,1.14025337041103,-28.6578093576966,8.23415159635799e-102,9.38819961240139e-99,221.742340628708
"ENSG00000176641","RNF152","protein_coding",-3.27497264468292,2.32174662143285,-27.9557808737364,8.60224092287026e-99,9.10731535419878e-96,214.840594968867
"ENSG00000205364","MT1M","protein_coding",-5.51920093573531,0.646907144379746,-27.365351467419,3.09701722611924e-96,3.06026595503596e-93,208.960419723934
"ENSG00000189129","PLAC9","protein_coding",-2.84210899332478,0.688759953328322,-27.1655606050992,2.28776667111254e-95,2.11932984995188e-92,206.869231322616
"ENSG00000135549","PKIB","protein_coding",-4.59049845602887,2.87755092483108,-27.0753416690953,5.65122084147423e-95,4.92719972425477e-92,206.083686019538
"ENSG00000170382","LRRN2","protein_coding",-4.23301075439737,1.23544172522193,-26.4385552686509,3.41793240617375e-92,2.81447745135041e-89,199.689193063829
"ENSG00000160712","IL6R","protein_coding",-3.01691722201725,3.58877543722611,-26.3220354823487,1.10796952762894e-91,8.64332859921905e-89,198.527827878153
"ENSG00000196616","ADH1B","protein_coding",-6.64389038246433,0.921414609033132,-26.2402730972579,2.53077256305751e-91,1.87555554648192e-88,197.694093063598
"ENSG00000163295","ALPI","protein_coding",-5.13611484788537,0.37681118531136,-26.2321251891759,2.74799353104572e-91,1.93956000557903e-88,197.604280352882
"ENSG00000118804","STBD1","protein_coding",-1.94873783478345,1.8244910474137,-26.1519355863788,6.18186939077609e-91,4.16489400500378e-88,196.767437661527
"ENSG00000103375","AQP8","protein_coding",-8.83245185372154,1.15018934990531,-26.039742924181,1.92381533486561e-90,1.23977351710339e-87,195.660707374175
"ENSG00000104435","STMN2","protein_coding",-4.68674304700845,0.37709221106722,-25.9691836655357,3.93089181280563e-90,2.42765326872521e-87,194.949769982241
"ENSG00000186198","SLC51B","protein_coding",-4.6273701261514,1.92039577779548,-25.8462755601734,1.36617115540615e-89,8.09975554617199e-87,193.725523786778
"ENSG00000180875","GREM2","protein_coding",-5.09194692682202,0.944270527578422,-25.7045159530355,5.75705097156406e-89,3.28196190386625e-86,192.287535269476
"ENSG00000040199","PHLPP2","protein_coding",-2.50173941743988,4.23495546676143,-25.5911013106437,1.82187686496242e-88,1.00014292194344e-85,191.142852080327
"ENSG00000204936","CD177","protein_coding",-7.37392117798619,1.87717408583875,-25.5777571767957,2.08648988258526e-88,1.10449832284567e-85,191.003035004825
"ENSG00000187824","TMEM220","protein_coding",-3.2171007137946,1.26450507087882,-25.4556959611928,7.21867678847778e-88,3.68949059857992e-85,189.756293608047
"ENSG00000139433","GLTP","protein_coding",-1.64498586097028,5.2879487346966,-25.1492879316582,1.63650943653397e-86,7.82462673171178e-84,186.65556281316
