fromNode	toNode	altNode1Name
ENSG00000224189	hsa-miR-125a-3p	HAGLR
ENSG00000249859	hsa-miR-93-5p	PVT1
ENSG00000249859	hsa-miR-106a-5p	PVT1
ENSG00000234456	hsa-miR-374b-5p	MAGI2-AS3
ENSG00000234456	hsa-miR-374a-5p	MAGI2-AS3
ENSG00000232956	hsa-miR-24-3p	SNHG15
ENSG00000215417	hsa-miR-130a-3p	MIR17HG
ENSG00000215417	hsa-miR-454-3p	MIR17HG
ENSG00000215417	hsa-miR-301a-3p	MIR17HG
ENSG00000215417	hsa-miR-301b-3p	MIR17HG
ENSG00000215417	hsa-miR-130b-3p	MIR17HG
ENSG00000234912	hsa-miR-495-3p	SNHG20
ENSG00000255717	hsa-miR-326	SNHG1
ENSG00000255717	hsa-miR-377-3p	SNHG1
ENSG00000255717	hsa-miR-330-5p	SNHG1
ENSG00000255717	hsa-miR-421	SNHG1
ENSG00000255717	hsa-miR-21-5p	SNHG1
ENSG00000234072	hsa-let-7c-5p	AC074117.1
ENSG00000269821	hsa-miR-761	KCNQ1OT1
ENSG00000269821	hsa-miR-214-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-3619-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-29c-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-29b-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-326	KCNQ1OT1
ENSG00000269821	hsa-miR-330-5p	KCNQ1OT1
ENSG00000269821	hsa-miR-29a-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-24-3p	KCNQ1OT1
ENSG00000269821	hsa-miR-145-5p	KCNQ1OT1
ENSG00000234741	hsa-miR-137	GAS5
ENSG00000234741	hsa-miR-485-5p	GAS5
ENSG00000235280	hsa-miR-33a-5p	MCF2L-AS1
ENSG00000233016	hsa-miR-342-3p	SNHG7
ENSG00000082397	hsa-miR-125a-3p	EPB41L3
ENSG00000105974	hsa-miR-125a-3p	CAV1
ENSG00000116337	hsa-miR-93-5p	AMPD2
ENSG00000116337	hsa-miR-106a-5p	AMPD2
ENSG00000198121	hsa-miR-374b-5p	LPAR1
ENSG00000198121	hsa-miR-374a-5p	LPAR1
ENSG00000065320	hsa-miR-374b-5p	NTN1
ENSG00000065320	hsa-miR-374a-5p	NTN1
ENSG00000079335	hsa-miR-374b-5p	CDC14A
ENSG00000079335	hsa-miR-374a-5p	CDC14A
