"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000229619","MBNL1-AS1","long_non_coding",-3.2444625854835,0.80919703974355,-10.4283721496529,3.59408059027503e-16,1.61258280419792e-13,26.4143354765446
"ENSG00000224189","HAGLR","long_non_coding",-3.65289886043096,1.27824439269961,-8.66779743285495,7.14563223886344e-13,9.74398027552466e-11,19.0035690146245
"ENSG00000225335","AC016027.1","long_non_coding",-1.88565939970046,0.128394427625549,-7.53418263574729,9.88576215563724e-11,6.39539841036085e-09,14.2163486207124
"ENSG00000186594","MIR22HG","long_non_coding",-1.94335152438714,2.54286316989999,-6.96110182360097,1.16923477035713e-09,5.24609239383783e-08,11.7604799179818
"ENSG00000265688","MAFG-DT","long_non_coding",2.85495269128092,1.64574259694962,6.93563032859682,1.3040444162036e-09,5.75808056665901e-08,11.6125095384028
"ENSG00000258441","LINC00641","long_non_coding",-1.95654963996842,1.16028016072782,-6.67063210664109,4.04024002478159e-09,1.48273610830309e-07,10.6158000057102
"ENSG00000196756","SNHG17","long_non_coding",2.49322647933237,4.84671593377145,6.55062792555985,6.72235713457578e-09,2.25848467113079e-07,10.1285516209076
"ENSG00000259291","ZNF710-AS1","long_non_coding",-1.87278973755315,1.16620170202534,-5.91584454705143,9.55399036464184e-08,2.0666633278663e-06,7.56077463179554
"ENSG00000249859","PVT1","long_non_coding",2.62750981686859,3.02677812812382,5.87155330028807,1.14645241525275e-07,2.43079369569368e-06,7.46840753187831
"ENSG00000280798","LINC00294","long_non_coding",-1.16204627694196,2.30090976542512,-5.82042916390761,1.4141914589784e-07,2.92273239270884e-06,7.13643110488733
"ENSG00000234456","MAGI2-AS3","long_non_coding",-1.9562788399024,1.25133390074049,-5.75450107606766,1.85214906482513e-07,3.69606045088275e-06,6.90613226572722
"ENSG00000272462","U91328.1","long_non_coding",-1.365247033023,0.563714422396919,-5.68884338307716,2.42060941541393e-07,4.665112504004e-06,6.73049377133172
"ENSG00000268388","FENDRR","long_non_coding",-2.49076685797163,2.84016754103772,-5.6780162345108,2.52959752154019e-07,4.85298923132449e-06,6.50565632614099
"ENSG00000255248","MIR100HG","long_non_coding",-2.39154935312495,1.09481832920055,-5.60460174739497,3.4073128330744e-07,6.17891971254653e-06,6.30550906243949
"ENSG00000272106","AL691432.2","long_non_coding",-1.25124041462225,1.04368957513535,-5.47556857443707,5.73234670842133e-07,9.68787489276213e-06,5.88592420798493
"ENSG00000232956","SNHG15","long_non_coding",1.71926518745667,4.17472285265421,5.47129504648917,5.83152702089158e-07,9.81028238066951e-06,5.81841102761164
"ENSG00000272686","WASL-DT","long_non_coding",-1.20234401435548,1.94185975808961,-5.43697668754482,6.69160296071379e-07,1.10538605202575e-05,5.66131568071097
"ENSG00000181577","C6orf223","long_non_coding",4.74288635555881,4.06746611543311,5.4364116430222,6.70675955702632e-07,1.10657554778979e-05,5.8065377262603
"ENSG00000260244","AC104083.1","long_non_coding",-2.15352133254995,1.49459740833818,-5.33363670713331,1.01062540146166e-06,1.56708904224417e-05,5.2366436876078
"ENSG00000234753","FOXP4-AS1","long_non_coding",2.54520533867335,0.542367176732729,5.18719128478137,1.80321300003295e-06,2.5566656083036e-05,4.87721891255013
"ENSG00000253161","LINC01605","long_non_coding",3.10280853666653,0.270456898396249,5.05707055327653,2.99975708587712e-06,3.86952838378828e-05,4.40728038133299
"ENSG00000260942","CAPN10-DT","long_non_coding",1.65232758797188,0.607897600261941,5.03818437771663,3.22829860448841e-06,4.111941876358e-05,4.3417972236651
"ENSG00000256643","LINC02441","long_non_coding",-2.23329221548861,0.277494011579432,-5.00947107273936,3.60874795882757e-06,4.50980012213231e-05,4.12289409349743
"ENSG00000261373","VPS9D1-AS1","long_non_coding",2.98433542932563,2.74493990067368,4.96484513650288,4.28861908272484e-06,5.20964216782706e-05,4.06354957164674
"ENSG00000204876","AC021218.1","long_non_coding",3.87474246542069,3.58633495291325,4.91189487066714,5.25876095706666e-06,6.17249840943799e-05,3.87018770520693
"ENSG00000215417","MIR17HG","long_non_coding",2.85681232878937,0.520766079546607,4.9043081308119,5.41426030257073e-06,6.32342082326754e-05,3.86295276848471
"ENSG00000204387","SNHG32","long_non_coding",1.24495626559888,5.74641560757138,4.82707088859201,7.27588991604541e-06,8.07664428110739e-05,3.24525379868992
"ENSG00000174365","SNHG11","long_non_coding",1.58273216859397,3.29361906337357,4.77199730196018,8.97102843457722e-06,9.64281564888211e-05,3.27033757495683
"ENSG00000272502","AC104958.2","long_non_coding",2.85991508776178,1.38734895288982,4.72567693449758,1.06898586098646e-05,0.000111503617422755,3.23496612498746
"ENSG00000177410","ZFAS1","long_non_coding",1.60944201827238,6.27869638627468,4.69804101018988,1.18639458524892e-05,0.000122143318180809,2.76995583803681
"ENSG00000234912","SNHG20","long_non_coding",1.43117578939354,1.87329513268541,4.61508509148863,1.61930890934862e-05,0.000158500827727867,2.79554512790366
"ENSG00000275437","AL121832.3","long_non_coding",2.34924378655254,0.427202451202123,4.61337682032066,1.62967039623532e-05,0.000159067266956049,2.84892637279283
"ENSG00000273142","LINC02604","long_non_coding",2.29560966896012,2.00141441072064,4.55602693591341,2.0174860248744e-05,0.000190892606258354,2.61818689208346
"ENSG00000224259","LINC01133","long_non_coding",-1.82072358995534,2.9960626717577,-4.50539073362858,2.43332723720974e-05,0.000223105791314108,2.10371492841204
"ENSG00000236144","TMEM147-AS1","long_non_coding",1.95827551388285,2.53636286370365,4.49141403135446,2.56204980543172e-05,0.000231700590011377,2.35400127345049
"ENSG00000255717","SNHG1","long_non_coding",1.33685828862149,4.73761024608564,4.41736954429043,3.36211509781942e-05,0.000293005381551192,1.83744919410274
"ENSG00000172965","MIR4435-2HG","long_non_coding",1.68489112425255,3.13795659055457,4.41516088731745,3.38936312516248e-05,0.000295010336094399,2.03139753163846
