"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-21-5p",6.85783778285282,17.4548683861815,18.0972510963655,1.03198374354289e-28,4.70584587055557e-26,53.5404732408376,"hsa-miR-21-5p","miRNA"
"hsa-miR-766-3p",-5.28424321350597,2.41493298572116,-12.3073200663235,1.73222995489947e-19,3.94948429717079e-17,33.5091079157673,"hsa-miR-766-3p","miRNA"
"hsa-miR-328-3p",-6.60883521277265,3.8185347780445,-12.1745074530706,2.96164333755948e-19,4.50169787309041e-17,33.0793176901698,"hsa-miR-328-3p","miRNA"
"hsa-miR-197-3p",-5.24246272435731,7.85819401085812,-12.0784950689497,4.36997356886363e-19,4.98176986850454e-17,32.7552452010297,"hsa-miR-197-3p","miRNA"
"hsa-miR-139-5p",-5.94814322889624,4.49107733869395,-10.7839855713467,9.15348594598798e-17,8.34797918274104e-15,27.6016888066108,"hsa-miR-139-5p","miRNA"
"hsa-let-7d-3p",-4.9563913950839,8.40415685892387,-10.6950164714,1.33001514788309e-16,1.01081151239115e-14,27.2735131505566,"hsa-let-7d-3p","miRNA"
"hsa-miR-126-3p",5.0428738377602,10.9450150228474,10.548300326432,2.466870634759e-16,1.60699001350015e-14,26.577529908779,"hsa-miR-126-3p","miRNA"
"hsa-miR-1306-5p",-4.74054373087546,2.2635088823373,-10.2130458569551,1.01926844348145e-15,5.80983012784426e-14,25.2370537071917,"hsa-miR-1306-5p","miRNA"
"hsa-miR-129-5p",-6.49865415934486,0.703469279658716,-10.1513181846174,1.32487924367283e-15,6.71272150127566e-14,24.9827406870405,"hsa-miR-129-5p","miRNA"
"hsa-miR-101-3p",5.32143841966197,12.4026641381878,10.0321359853789,2.20005864194433e-15,1.00322674072661e-13,24.5153798721334,"hsa-miR-101-3p","miRNA"
"hsa-miR-6511b-3p",-6.04397045882673,0.304742955840232,-9.78330297699615,6.36452316426978e-15,2.63838414809729e-13,23.4641244333011,"hsa-miR-6511b-3p","miRNA"
"hsa-miR-194-5p",4.49318445356531,14.1222825005862,9.55793960052159,1.67166043954798e-14,6.35230967028234e-13,22.5938868766543,"hsa-miR-194-5p","miRNA"
"hsa-miR-574-3p",-5.27055850421835,5.47132557779195,-9.50906285267972,2.06196697888396e-14,7.23274571054681e-13,22.4023169011103,"hsa-miR-574-3p","miRNA"
"hsa-miR-149-5p",-5.64881344319356,3.36531057367446,-9.45411796127607,2.61096174037078e-14,8.50427538292196e-13,22.1491038089939,"hsa-miR-149-5p","miRNA"
"hsa-miR-24-2-5p",5.05356619806746,4.63366124644731,9.33956466500134,4.27334870240943e-14,1.29909800553247e-12,21.0694887020637,"hsa-miR-24-2-5p","miRNA"
"hsa-miR-106b-5p",5.46738028349242,8.0350707263734,9.30645553137164,4.92794459157378e-14,1.40446420859853e-12,21.1310040048569,"hsa-miR-106b-5p","miRNA"
"hsa-miR-192-5p",5.14161533049544,16.0325724736433,9.1335492710837,1.03819388048011e-13,2.78480240881724e-12,20.8503054329877,"hsa-miR-192-5p","miRNA"
"hsa-miR-141-3p",6.27877524007817,9.89742714029817,9.03725644465309,1.5730469362757e-13,3.98505223856511e-12,20.2186586292332,"hsa-miR-141-3p","miRNA"
"hsa-miR-452-5p",7.42441741660121,6.92014929318192,8.88684194850278,3.01251185264481e-13,7.23002844634755e-12,19.2852882004976,"hsa-miR-452-5p","miRNA"
"hsa-miR-99b-5p",-3.88129236224707,13.572852811298,-8.80964322059767,4.2060865188415e-13,9.58987726295863e-12,19.5121790251448,"hsa-miR-99b-5p","miRNA"
"hsa-miR-379-5p",5.12402358095302,9.23324606159001,8.75180893084196,5.40149559387694e-13,1.17289618609899e-11,19.1096615824363,"hsa-miR-379-5p","miRNA"
