"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000163815","CLEC3B","protein_coding",-4.66934791490546,0.929418927935532,-20.851660296861,1.11219725368383e-32,1.54695516014884e-28,62.9756737396137
"ENSG00000113594","LIFR","protein_coding",-4.13865699330108,0.643746073759741,-13.6780805020995,6.17183193902339e-22,3.56661122240553e-18,39.326421473991
"ENSG00000118777","ABCG2","protein_coding",-4.57764255674291,0.887210971214706,-13.6215382459655,7.692741151209e-22,3.56661122240553e-18,39.135431545647
"ENSG00000168309","FAM107A","protein_coding",-3.71733677231649,0.581094692453953,-13.42272067189,1.67440538566151e-21,5.8223261272915e-18,38.330945301339
"ENSG00000176533","GNG7","protein_coding",-3.22752886298254,0.413337803876464,-12.3962057178378,1.00390644336683e-19,2.79266694415786e-16,34.3144924369593
"ENSG00000168497","CAVIN2","protein_coding",-3.71562959932096,2.03101774304618,-12.0805763106905,3.62586972520938e-19,7.20460314399103e-16,33.1788034103371
"ENSG00000186417","GLDN","protein_coding",-4.17230924294466,0.43651901992857,-12.081980544187,3.60512021864303e-19,7.20460314399103e-16,33.1365159483532
"ENSG00000101955","SRPX","protein_coding",-3.63778449138079,1.23635950475984,-11.9669709816575,5.77273756753797e-19,1.00366258533607e-15,32.7041412171468
"ENSG00000187699","C2orf88","protein_coding",-4.28653457347013,2.13818758986449,-11.5217986442747,3.62153081677443e-18,5.59687468116839e-15,30.9323561044804
"ENSG00000135549","PKIB","protein_coding",-4.40452608803474,2.19065881491696,-11.4412419602953,5.06073556175708e-18,7.03897709284792e-15,30.6052884813993
"ENSG00000186642","PDE2A","protein_coding",-3.10333553905267,0.958720151413365,-11.3888352800546,6.29382577744673e-18,7.95825661259151e-15,30.3503192252899
"ENSG00000138722","MMRN1","protein_coding",-4.68218752264627,0.419589100814904,-11.2876049407906,9.59837431822094e-18,1.11253156993446e-14,29.9551686455966
"ENSG00000127241","MASP1","protein_coding",-5.01542286417196,0.442470181477997,-11.101773581115,2.08858234730581e-17,2.23462245143666e-14,29.2001876481828
"ENSG00000176641","RNF152","protein_coding",-3.46138376437768,1.68599530369446,-11.069194619696,2.39443922326409e-17,2.37887536831287e-14,29.0810364209046
"ENSG00000168477","TNXB","protein_coding",-4.96170642797678,1.44513519335845,-11.0071605570748,3.10701984109147e-17,2.88103593131608e-14,28.8252902031672
"ENSG00000145362","ANK2","protein_coding",-4.10820880255116,1.03305324465925,-10.9538159070489,3.88837189627473e-17,3.38021029408033e-14,28.6005159582102
"ENSG00000087258","GNAO1","protein_coding",-4.14921802391139,0.766806157468466,-10.9061562459844,4.75237635616077e-17,3.8882825139906e-14,28.3994200330875
"ENSG00000196616","ADH1B","protein_coding",-6.72812874835164,0.605205559719975,-10.8759391275821,5.39772104805439e-17,4.12465298571934e-14,28.2727279065775
"ENSG00000175832","ETV4","protein_coding",5.28735783661932,5.81588202404838,10.8657613416208,5.6343667214514e-17,4.12465298571934e-14,27.8817930475494
"ENSG00000112425","EPM2A","protein_coding",-2.23543628717435,1.22614524106102,-10.824776757563,6.69773285308019e-17,4.65793831267462e-14,28.0266123178633
"ENSG00000143603","KCNN3","protein_coding",-3.06966875942508,0.909671605486513,-10.8092088272473,7.15263375552648e-17,4.73742775741037e-14,27.9833947689512
"ENSG00000198624","CCDC69","protein_coding",-3.55074338924107,3.35643651685866,-10.7860357122458,7.88794486949567e-17,4.98697387226433e-14,27.9246799133751
"ENSG00000046653","GPM6B","protein_coding",-3.3473575535585,0.986308886267927,-10.7135549077978,1.07159115863325e-16,6.4803310545347e-14,27.6006192581863
"ENSG00000145687","SSBP2","protein_coding",-2.75294247512989,1.57286689256991,-10.6653569947481,1.31410677508573e-16,7.34750175123478e-14,27.4083652160497
"ENSG00000105894","PTN","protein_coding",-3.17417168263198,0.843263860729603,-10.6641863388367,1.32063803135286e-16,7.34750175123478e-14,27.3882424549166
"ENSG00000154175","ABI3BP","protein_coding",-4.12557654007728,1.59750231821983,-10.63400907386,1.50074318602357e-16,8.02839883630841e-14,27.2880448381178
"ENSG00000154721","JAM2","protein_coding",-3.079807704646,1.3888172952086,-10.4923240954741,2.73817818237295e-16,1.39397559262293e-13,26.692688452314
"ENSG00000078596","ITM2A","protein_coding",-3.1496742638815,1.86301108164811,-10.4860438401246,2.81225856506199e-16,1.39397559262293e-13,26.6737809487619
"ENSG00000168079","SCARA5","protein_coding",-5.83451842067436,0.600815946038487,-10.4782975034157,2.90641255202136e-16,1.39397559262293e-13,26.6342489723556
"ENSG00000166501","PRKCB","protein_coding",-3.41701293979119,1.27198073573191,-10.4543038721924,3.21862801374436e-16,1.49226323477234e-13,26.5355930698144
"ENSG00000165410","CFL2","protein_coding",-3.22798492489083,2.76615077638421,-10.4075995538368,3.92635554615592e-16,1.70661497785883e-13,26.3520968336276
"ENSG00000103375","AQP8","protein_coding",-7.77661371364922,0.976500442730988,-10.3322208217125,5.41343008312448e-16,2.28167875836904e-13,26.0154997674296
"ENSG00000080493","SLC4A4","protein_coding",-6.70820635836348,1.61122311515257,-10.2411781563962,7.9838199542968e-16,3.24386962809304e-13,25.6454637359265
"ENSG00000172260","NEGR1","protein_coding",-3.52145890686516,1.43336544841018,-10.2335909279675,8.24680958679192e-16,3.24386962809304e-13,25.6193496595209
"ENSG00000067113","PLPP1","protein_coding",-2.00683087829407,3.89204943177088,-10.2293954276022,8.39595273645478e-16,3.24386962809304e-13,25.6083968102241
"ENSG00000112936","C7","protein_coding",-4.87191909455474,1.73374359891096,-10.1877790103841,1.00303178876789e-15,3.77058625674935e-13,25.4300883204253
"ENSG00000127951","FGL2","protein_coding",-3.5006162654466,3.24673154492881,-10.1196337668968,1.34253748489841e-15,4.91404049406631e-13,25.1475877702999
"ENSG00000198121","LPAR1","protein_coding",-2.83150008823874,2.23582065871501,-10.0930262225013,1.50454199519037e-15,5.36581400284689e-13,25.0344681945665
"ENSG00000108924","HLF","protein_coding",-3.07433342921896,0.351304505307577,-10.0234410735331,2.02726157364672e-15,7.04929530696307e-13,24.7000160999226
"ENSG00000187824","TMEM220","protein_coding",-3.20378205337893,0.597553120316812,-9.98170742436009,2.42468156173593e-15,8.22558435175244e-13,24.5461169551145
"ENSG00000118308","IRAG2","protein_coding",-3.20659579875748,0.500614456188116,-9.91217385491061,3.26819381818321e-15,1.08231685278834e-12,24.2493451829511
"ENSG00000172594","SMPDL3A","protein_coding",-2.83114877979477,3.56201144400373,-9.88754054689773,3.63307729330086e-15,1.17517376912841e-12,24.17150079982
"ENSG00000180875","GREM2","protein_coding",-4.36924916982087,1.20769976935814,-9.8689213362952,3.93578107600012e-15,1.24415406786558e-12,24.0914062244105
"ENSG00000118407","FILIP1","protein_coding",-3.31156225593185,0.333084156464174,-9.79991906235402,5.29572551459054e-15,1.61615362881069e-12,23.779644235352
"ENSG00000198523","PLN","protein_coding",-4.62802796244327,1.49014989061547,-9.79440088625234,5.42299518849829e-15,1.61615362881069e-12,23.7784642928528
"ENSG00000143196","DPT","protein_coding",-5.35427380539722,1.68990444321712,-9.79277160615587,5.4611561258252e-15,1.61615362881069e-12,23.7714104783663
"ENSG00000112964","GHR","protein_coding",-3.48864614905771,0.81489442499881,-9.77259388423792,5.95670476298243e-15,1.72607930309006e-12,23.6804855400558
"ENSG00000152137","HSPB8","protein_coding",-4.29278582393636,2.05440013206127,-9.76596496900993,6.12916180364903e-15,1.73980635769295e-12,23.6591517377094
"ENSG00000135218","CD36","protein_coding",-3.49851338259311,1.6394248917124,-9.723599466147,7.35608454400908e-15,2.04631559845245e-12,23.4800476455665
"ENSG00000059915","PSD","protein_coding",-4.00593256601718,1.38160929407035,-9.63636991641142,1.0714330075743e-14,2.9220709220296e-12,23.1119316269705
"ENSG00000145936","KCNMB1","protein_coding",-3.97289507505021,1.46897007574497,-9.61070114088997,1.19691240124888e-14,3.20151049787897e-12,23.0036558953629
"ENSG00000167779","IGFBP6","protein_coding",-2.87851291558624,2.19967179073752,-9.5997229016418,1.25498406394589e-14,3.29350440479686e-12,22.957315367124
"ENSG00000174944","P2RY14","protein_coding",-2.9287272541107,0.352559933071058,-9.56447363513241,1.46124945062844e-14,3.76379974236869e-12,22.7787421237955
"ENSG00000149294","NCAM1","protein_coding",-3.31176514260781,1.22883158616802,-9.5587489430663,1.4978215661848e-14,3.78785457528443e-12,22.7831386120605
"ENSG00000154330","PGM5","protein_coding",-4.68345281342868,2.19691434839829,-9.54887803860501,1.56305132910779e-14,3.88222873867147e-12,22.7423441832048
"ENSG00000005249","PRKAR2B","protein_coding",-2.8189662347988,1.72739156050425,-9.50957963902313,1.85226059298943e-14,4.51984080489297e-12,22.5761803467125
"ENSG00000082397","EPB41L3","protein_coding",-3.40810184744874,2.42826745584243,-9.4893270715318,2.02168269469109e-14,4.77914324874422e-12,22.489623296587
"ENSG00000004799","PDK4","protein_coding",-3.48469922299839,3.41340779718711,-9.48869142897744,2.02724460188302e-14,4.77914324874422e-12,22.4860561701763
"ENSG00000135842","NIBAN1","protein_coding",-4.09079069155311,2.76865568032824,-9.4836106274002,2.0722570338774e-14,4.80383718070012e-12,22.4654586563867
"ENSG00000141052","MYOCD","protein_coding",-3.74720851612345,1.12369606640945,-9.42567287473355,2.6622220229954e-14,6.07030264226934e-12,22.2212896157693
