"","Terms","Counts","GeneRatio","BgRatio","pValue","FDR","foldEnrichment","geneID","geneSymbol","Category"
"1","GO:0060070~canonical Wnt signaling pathway",9,"9/90","309/18669",1.8105389527431e-05,0.0195279589380238,6.04174757281553,"ENSG00000105974/ENSG00000066468/ENSG00000122707/ENSG00000162407/ENSG00000169554/ENSG00000134982/ENSG00000116857/ENSG00000106829/ENSG00000150907","CAV1/FGFR2/RECK/PLPP3/ZEB2/APC/TMEM9/TLE4/FOXO1","GO_BP"
"2","GO:0030111~regulation of Wnt signaling pathway",9,"9/90","335/18669",3.4144898841509e-05,0.0195279589380238,5.57283582089552,"ENSG00000105974/ENSG00000066468/ENSG00000122707/ENSG00000162407/ENSG00000169554/ENSG00000134982/ENSG00000116857/ENSG00000106829/ENSG00000150907","CAV1/FGFR2/RECK/PLPP3/ZEB2/APC/TMEM9/TLE4/FOXO1","GO_BP"
"3","GO:0060828~regulation of canonical Wnt signaling pathway",8,"8/90","259/18669",3.57826586266716e-05,0.0195279589380238,6.40720720720721,"ENSG00000105974/ENSG00000066468/ENSG00000122707/ENSG00000169554/ENSG00000134982/ENSG00000116857/ENSG00000106829/ENSG00000150907","CAV1/FGFR2/RECK/ZEB2/APC/TMEM9/TLE4/FOXO1","GO_BP"
"4","GO:0016050~vesicle organization",9,"9/90","352/18669",5.01374902935385e-05,0.0195279589380238,5.30369318181818,"ENSG00000105974/ENSG00000220205/ENSG00000169554/ENSG00000143669/ENSG00000105971/ENSG00000166128/ENSG00000116857/ENSG00000115657/ENSG00000106089","CAV1/VAMP2/ZEB2/LYST/CAV2/RAB8B/TMEM9/ABCB6/STX1A","GO_BP"
"5","GO:0007266~Rho protein signal transduction",6,"6/90","140/18669",5.93017775056181e-05,0.0195279589380238,8.89,"ENSG00000198121/ENSG00000065320/ENSG00000111913/ENSG00000105976/ENSG00000163171/ENSG00000173706","LPAR1/NTN1/RIPOR2/MET/CDC42EP3/HEG1","GO_BP"
"6","GO:0016055~Wnt signaling pathway",10,"10/90","455/18669",6.71781339155544e-05,0.0195279589380238,4.55897435897436,"ENSG00000105974/ENSG00000066468/ENSG00000122707/ENSG00000162407/ENSG00000169554/ENSG00000134982/ENSG00000116857/ENSG00000142632/ENSG00000106829/ENSG00000150907","CAV1/FGFR2/RECK/PLPP3/ZEB2/APC/TMEM9/ARHGEF19/TLE4/FOXO1","GO_BP"
"7","GO:0198738~cell-cell signaling by wnt",10,"10/90","457/18669",6.96719572550344e-05,0.0195279589380238,4.53902261123268,"ENSG00000105974/ENSG00000066468/ENSG00000122707/ENSG00000162407/ENSG00000169554/ENSG00000134982/ENSG00000116857/ENSG00000142632/ENSG00000106829/ENSG00000150907","CAV1/FGFR2/RECK/PLPP3/ZEB2/APC/TMEM9/ARHGEF19/TLE4/FOXO1","GO_BP"
"8","GO:0060443~mammary gland morphogenesis",4,"4/90","46/18669",7.05936156819658e-05,0.0195279589380238,18.0376811594203,"ENSG00000065320/ENSG00000105974/ENSG00000113580/ENSG00000066468","NTN1/CAV1/NR3C1/FGFR2","GO_BP"
"9","GO:0030003~cellular cation homeostasis",10,"10/90","499/18669",0.00014353671978571,0.0329974306820278,4.15698062792251,"ENSG00000105974/ENSG00000113448/ENSG00000136997/ENSG00000172869/ENSG00000198947/ENSG00000071967/ENSG00000105971/ENSG00000125247/ENSG00000116857/ENSG00000115657","CAV1/PDE4D/MYC/DMXL1/DMD/CYBRD1/CAV2/TMTC4/TMEM9/ABCB6","GO_BP"
"10","GO:2000630~positive regulation of miRNA metabolic process",4,"4/90","56/18669",0.000153158437460847,0.0329974306820278,14.8166666666667,"ENSG00000269821/ENSG00000234741/ENSG00000113580/ENSG00000136997","KCNQ1OT1/GAS5/NR3C1/MYC","GO_BP"
