gene	symbol	type	numInteractions
ENSG00000011426	ANLN	pc	2
ENSG00000013619	MAMLD1	pc	1
ENSG00000025772	TOMM34	pc	1
ENSG00000057657	PRDM1	pc	2
ENSG00000065320	NTN1	pc	2
ENSG00000065534	MYLK	pc	2
ENSG00000066468	FGFR2	pc	2
ENSG00000071967	CYBRD1	pc	2
ENSG00000072571	HMMR	pc	1
ENSG00000077312	SNRPA	pc	2
ENSG00000079308	TNS1	pc	2
ENSG00000079335	CDC14A	pc	2
ENSG00000082397	EPB41L3	pc	1
ENSG00000084676	NCOA1	pc	2
ENSG00000099901	RANBP1	pc	1
ENSG00000101255	TRIB3	pc	1
ENSG00000104267	CA2	pc	2
ENSG00000105971	CAV2	pc	2
ENSG00000106344	RBM28	pc	1
ENSG00000106829	TLE4	pc	2
ENSG00000109436	TBC1D9	pc	2
ENSG00000111913	RIPOR2	pc	2
ENSG00000112773	TENT5A	pc	2
ENSG00000113448	PDE4D	pc	2
ENSG00000113580	NR3C1	pc	2
ENSG00000117020	AKT3	pc	2
ENSG00000117114	ADGRL2	pc	2
ENSG00000118564	FBXL5	pc	2
ENSG00000119729	RHOQ	pc	2
ENSG00000119938	PPP1R3C	pc	2
ENSG00000119969	HELLS	pc	1
ENSG00000120694	HSPH1	pc	2
ENSG00000122707	RECK	pc	2
ENSG00000126821	SGPP1	pc	2
ENSG00000129173	E2F8	pc	2
ENSG00000129682	FGF13	pc	2
ENSG00000137692	DCUN1D5	pc	1
ENSG00000139926	FRMD6	pc	2
ENSG00000143515	ATP8B2	pc	2
ENSG00000143669	LYST	pc	2
ENSG00000143995	MEIS1	pc	2
ENSG00000150457	LATS2	pc	2
ENSG00000150907	FOXO1	pc	2
ENSG00000151240	DIP2C	pc	2
ENSG00000152409	JMY	pc	2
ENSG00000162062	TEDC2	pc	1
ENSG00000162407	PLPP3	pc	2
ENSG00000162999	DUSP19	pc	2
ENSG00000163171	CDC42EP3	pc	2
ENSG00000163468	CCT3	pc	1
ENSG00000164176	EDIL3	pc	2
ENSG00000165424	ZCCHC24	pc	2
ENSG00000166128	RAB8B	pc	2
ENSG00000168411	RFWD3	pc	2
ENSG00000169554	ZEB2	pc	2
ENSG00000169851	PCDH7	pc	2
ENSG00000172869	DMXL1	pc	2
ENSG00000179476	C14orf28	pc	2
ENSG00000179833	SERTAD2	pc	2
ENSG00000184588	PDE4B	pc	2
ENSG00000189007	ADAT2	pc	1
ENSG00000198121	LPAR1	pc	2
ENSG00000198910	L1CAM	pc	2
ENSG00000198947	DMD	pc	2
ENSG00000206418	RAB12	pc	2
ENSG00000220205	VAMP2	pc	2
ENSG00000224189	HAGLR	lnc	1
ENSG00000232956	SNHG15	lnc	1
ENSG00000234456	MAGI2-AS3	lnc	2
ENSG00000234912	SNHG20	lnc	1
ENSG00000255717	SNHG1	lnc	4
hsa-miR-125a-3p	hsa-miR-125a-3p	mir	2
hsa-miR-24-3p	hsa-miR-24-3p	mir	6
hsa-miR-326	hsa-miR-326	mir	3
hsa-miR-330-5p	hsa-miR-330-5p	mir	3
hsa-miR-374a-5p	hsa-miR-374a-5p	mir	52
hsa-miR-374b-5p	hsa-miR-374b-5p	mir	53
hsa-miR-377-3p	hsa-miR-377-3p	mir	3
hsa-miR-421	hsa-miR-421	mir	3
hsa-miR-495-3p	hsa-miR-495-3p	mir	4
