"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000229619","MBNL1-AS1","long_non_coding",-3.75463836864816,0.564594334099959,-9.69934461738068,1.3897891874853e-15,3.23589249152828e-12,24.9208832336726
"ENSG00000258441","LINC00641","long_non_coding",-1.98642675058111,1.29814359721793,-5.55679044295024,2.85082692776924e-07,1.95225745984982e-05,6.55824282459441
"ENSG00000234456","MAGI2-AS3","long_non_coding",-2.70695102595026,0.828325642662829,-5.50390599653326,3.56667859946225e-07,2.35030660540036e-05,6.33684901115027
"ENSG00000272106","AL691432.2","long_non_coding",-1.59871682384849,1.03849047884069,-5.13224233936705,1.67543257683606e-06,8.38917315354831e-05,4.90474334950927
"ENSG00000186594","MIR22HG","long_non_coding",-2.26609916636391,2.4774307570631,-5.10843549353639,1.84677360927646e-06,8.95813448666392e-05,4.74473344206974
"ENSG00000259291","ZNF710-AS1","long_non_coding",-1.87419155201201,1.48545514055905,-4.90281977532391,4.24241385760253e-06,0.000175344738434045,3.99189428070001
"ENSG00000250328","MGC32805","long_non_coding",6.0405625063865,-0.108484103480586,4.79096319135979,6.62159344218148e-06,0.000247999089510121,3.48293422177843
"ENSG00000268388","FENDRR","long_non_coding",-2.86014814508041,2.79895251846541,-4.76068221699759,7.46292075801018e-06,0.000270797410362084,3.4143356597745
"ENSG00000255248","MIR100HG","long_non_coding",-3.12163083723802,0.59473829366096,-4.74565694809792,7.91809469126755e-06,0.000282904815439917,3.38869557877314
"ENSG00000224189","HAGLR","long_non_coding",-3.32681193023257,1.25254686234771,-4.70410057045659,9.32205911776566e-06,0.000316090208434918,3.21287597691998
"ENSG00000260244","AC104083.1","long_non_coding",-2.43114942078973,1.21463175019313,-4.46652130693101,2.33534619292012e-05,0.000639701692452826,2.3661482359306
"ENSG00000265688","MAFG-DT","long_non_coding",3.11947501095412,2.0066440872863,4.28110738962582,4.69497464871004e-05,0.00114665726997341,1.84602043584221
"ENSG00000172965","MIR4435-2HG","long_non_coding",2.07746926685915,3.00991652844197,4.0624685885092,0.000104642683459735,0.00214034888423499,1.12791382729925
"ENSG00000232956","SNHG15","long_non_coding",1.6137248823001,4.16331301669186,3.95044802993144,0.000156262078599051,0.00293411456724293,0.652762012200525
"ENSG00000249859","PVT1","long_non_coding",2.9999882667531,3.15748999639192,3.94951280193928,0.000156781631501704,0.00293991864708565,0.786762644418786
"ENSG00000261534","AL596244.1","long_non_coding",-1.62167144020678,0.286264774393051,-3.94036900946868,0.000161949195241059,0.00301463141624076,0.687216357689406
"ENSG00000260942","CAPN10-DT","long_non_coding",1.87849239212435,0.92004275652426,3.71368784063427,0.000356541235749322,0.00555901904399334,0.0715310493058201
"ENSG00000272462","U91328.1","long_non_coding",-1.31532032049195,0.55848914389079,-3.69348871029475,0.000381978944398099,0.00582638167704096,-0.100413772543897
"ENSG00000255717","SNHG1","long_non_coding",1.93511128574967,4.9704591696809,3.65968344254916,0.000428451154107353,0.00628065332935962,-0.325197962242749
