"","logFC","AveExpr","t","PValue","FDR","B","symbol","group"
"hsa-miR-21-5p",6.16469846611357,17.5659540438553,12.2572190893878,1.96626851331708e-20,6.0722113533559e-18,34.7626200018198,"hsa-miR-21-5p","miRNA"
"hsa-miR-328-3p",-8.2442811804261,4.0270258219182,-12.1918299399204,2.62866292353069e-20,6.0722113533559e-18,34.5307522550122,"hsa-miR-328-3p","miRNA"
"hsa-miR-766-3p",-6.26763927145245,2.46566527070018,-10.353092571975,1.08775511276609e-16,1.67514287365978e-14,26.7249075773597,"hsa-miR-766-3p","miRNA"
"hsa-let-7d-3p",-6.01617394935487,8.55912426427542,-9.66933496095591,2.55970444802998e-15,2.95645863747463e-13,23.946797641355,"hsa-let-7d-3p","miRNA"
"hsa-miR-139-5p",-6.63780588244922,4.53295861807227,-9.12655506793966,3.17829319719705e-14,2.8002294706808e-12,21.5530675297776,"hsa-miR-139-5p","miRNA"
"hsa-miR-197-3p",-5.9584364828706,8.0294639310412,-9.09755607641666,3.6366616502348e-14,2.8002294706808e-12,21.469928749246,"hsa-miR-197-3p","miRNA"
"hsa-miR-1306-5p",-5.97512956328454,2.61663579066449,-8.87972359778488,1.00055712804807e-13,6.60367704511723e-12,20.4271010836814,"hsa-miR-1306-5p","miRNA"
"hsa-miR-574-3p",-6.01933533577056,5.6560061226379,-8.85048380187302,1.14614189511451e-13,6.61896944428629e-12,20.3809176076702,"hsa-miR-574-3p","miRNA"
"hsa-miR-6511b-3p",-7.3580308136727,0.574348426592485,-8.80404157276829,1.42212620065824e-13,7.30024783004564e-12,20.1024201215318,"hsa-miR-6511b-3p","miRNA"
"hsa-miR-193b-5p",-6.11117300106132,1.41158482017088,-8.41247763890494,8.75620174470409e-13,4.04536520605329e-11,18.4154864120538,"hsa-miR-193b-5p","miRNA"
"hsa-miR-139-3p",-7.26086952311616,1.95823549772343,-7.72471987606176,2.0997888888448e-11,8.81911333314814e-10,15.4560859252958,"hsa-miR-139-3p","miRNA"
"hsa-miR-1296-5p",-5.39526349019399,2.16650424291857,-7.69841404073583,2.36962331003612e-11,9.12304974363906e-10,15.34767233376,"hsa-miR-1296-5p","miRNA"
"hsa-miR-129-5p",-7.76822682951644,0.807227899313228,-7.54198198390977,4.85674075118548e-11,1.72601094388284e-09,14.6714894060623,"hsa-miR-129-5p","miRNA"
"hsa-miR-485-3p",-5.04677957583909,1.43189087217657,-7.23606808340724,1.96181720260076e-10,6.4739967685825e-09,13.3452190840277,"hsa-miR-485-3p","miRNA"
"hsa-miR-149-5p",-6.3429189789253,3.31574841019275,-7.1476081636109,2.93144189024462e-10,9.02884102195343e-09,13.0012155502243,"hsa-miR-149-5p","miRNA"
"hsa-let-7b-3p",-4.05943420405764,4.31666497655658,-7.13155803582206,3.15268515017508e-10,9.10337837113053e-09,12.9329617902461,"hsa-let-7b-3p","miRNA"
"hsa-miR-126-3p",5.37573901480556,11.0709073634718,7.10159380169319,3.61104798762345e-10,9.81355394283549e-09,12.7367617008917,"hsa-miR-126-3p","miRNA"
"hsa-miR-125a-5p",-5.36091168387685,8.11897398858131,-6.86484068406049,1.05062704353503e-09,2.69660941173991e-08,11.8455813524572,"hsa-miR-125a-5p","miRNA"
"hsa-miR-99b-5p",-4.39895542068733,13.7778520510266,-6.7120343053282,2.08335980596359e-09,4.93889205391231e-08,11.21195591482,"hsa-miR-99b-5p","miRNA"
"hsa-miR-193a-5p",-5.98153376652526,6.73692161668932,-6.70623308230937,2.13804850818715e-09,4.93889205391231e-08,11.1783234123201,"hsa-miR-193a-5p","miRNA"
"hsa-miR-431-3p",-3.93623350003623,2.87772132248296,-6.56775339876717,3.96146495770056e-09,8.71522290694122e-08,10.5615829158561,"hsa-miR-431-3p","miRNA"
"hsa-let-7e-3p",-4.33414208947345,2.70395644527364,-6.50851180521359,5.15179044643438e-09,1.08187599375122e-07,10.3206760423745,"hsa-let-7e-3p","miRNA"
"hsa-miR-370-3p",-4.47751581335811,2.46096767186718,-6.36629525191078,9.65225289236461e-09,1.93884384185759e-07,9.73325674567189,"hsa-miR-370-3p","miRNA"
"hsa-miR-423-3p",-3.58471527867314,6.82422373078046,-6.35018802059455,1.03608575736341e-08,1.99446508292456e-07,9.67910126153002,"hsa-miR-423-3p","miRNA"
"hsa-miR-1976",-4.17895371803291,2.97361055295977,-6.28759640992945,1.36371308954272e-08,2.52014178947496e-07,9.41438830178921,"hsa-miR-1976","miRNA"
"hsa-miR-145-5p",-5.25624371745248,11.1537008967129,-6.25353794592874,1.58305505046993e-08,2.81296705121965e-07,9.30268483379801,"hsa-miR-145-5p","miRNA"
"hsa-let-7b-5p",-4.03315997298993,13.1396100516252,-6.20980010430242,1.91650862904824e-08,3.27935920970477e-07,9.12402002304861,"hsa-let-7b-5p","miRNA"
"hsa-miR-29b-3p",5.83156957531661,9.70332637945398,6.08808689692469,3.25464870448484e-08,5.37017036239999e-07,8.41975992421975,"hsa-miR-29b-3p","miRNA"
"hsa-miR-671-3p",-4.31771435852035,1.40520957642415,-6.06127740796978,3.65558045159036e-08,5.82371782287843e-07,8.45291074304177,"hsa-miR-671-3p","miRNA"
"hsa-miR-29b-2-5p",-3.45760412652524,3.70432649148009,-6.03063217536027,4.17380755491258e-08,6.42766363456537e-07,8.37124863222078,"hsa-miR-29b-2-5p","miRNA"
