"","Terms","Counts","GeneRatio","BgRatio","pValue","FDR","foldEnrichment","geneID","geneSymbol","Category"
"1","GO:0032060~bleb assembly",3,"3/65","11/18669",6.51571733812472e-06,0.00582046582385227,78.3314685314685,"ENSG00000198121/ENSG00000065534/ENSG00000011426","LPAR1/MYLK/ANLN","GO_BP"
"2","GO:0032869~cellular response to insulin stimulus",7,"7/65","208/18669",7.75767347488035e-06,0.00582046582385227,9.6659023668639,"ENSG00000220205/ENSG00000206418/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000150907/ENSG00000119729","VAMP2/RAB12/TRIB3/NCOA1/CAV2/FOXO1/RHOQ","GO_BP"
"3","GO:0071375~cellular response to peptide hormone stimulus",8,"8/65","307/18669",1.09201985438129e-05,0.00582046582385227,7.48443998997745,"ENSG00000220205/ENSG00000104267/ENSG00000206418/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000150907/ENSG00000119729","VAMP2/CA2/RAB12/TRIB3/NCOA1/CAV2/FOXO1/RHOQ","GO_BP"
"4","GO:0032868~response to insulin",7,"7/65","269/18669",4.06936150448493e-05,0.0143477844332547,7.47400629110666,"ENSG00000220205/ENSG00000206418/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000150907/ENSG00000119729","VAMP2/RAB12/TRIB3/NCOA1/CAV2/FOXO1/RHOQ","GO_BP"
"5","GO:1901653~cellular response to peptide",8,"8/65","374/18669",4.48648668957309e-05,0.0143477844332547,6.14364459070341,"ENSG00000220205/ENSG00000104267/ENSG00000206418/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000150907/ENSG00000119729","VAMP2/CA2/RAB12/TRIB3/NCOA1/CAV2/FOXO1/RHOQ","GO_BP"
"6","GO:0060070~canonical Wnt signaling pathway",7,"7/65","309/18669",9.73008179049042e-05,0.0238248569337008,6.50649738610904,"ENSG00000122707/ENSG00000066468/ENSG00000169554/ENSG00000162407/ENSG00000150457/ENSG00000150907/ENSG00000106829","RECK/FGFR2/ZEB2/PLPP3/LATS2/FOXO1/TLE4","GO_BP"
"7","GO:0043434~response to peptide hormone",8,"8/65","422/18669",0.000104298935919891,0.0238248569337008,5.44484141450966,"ENSG00000220205/ENSG00000104267/ENSG00000206418/ENSG00000101255/ENSG00000084676/ENSG00000105971/ENSG00000150907/ENSG00000119729","VAMP2/CA2/RAB12/TRIB3/NCOA1/CAV2/FOXO1/RHOQ","GO_BP"
"8","GO:0055117~regulation of cardiac muscle contraction",4,"4/65","78/18669",0.000157325732133263,0.0270046709582016,14.7289940828402,"ENSG00000113448/ENSG00000198947/ENSG00000129682/ENSG00000184588","PDE4D/DMD/FGF13/PDE4B","GO_BP"
"9","GO:0030111~regulation of Wnt signaling pathway",7,"7/65","335/18669",0.000160434033513168,0.0270046709582016,6.00151549942595,"ENSG00000122707/ENSG00000066468/ENSG00000169554/ENSG00000162407/ENSG00000150457/ENSG00000150907/ENSG00000106829","RECK/FGFR2/ZEB2/PLPP3/LATS2/FOXO1/TLE4","GO_BP"
"10","GO:0060603~mammary gland duct morphogenesis",3,"3/65","31/18669",0.000168884746455295,0.0270046709582016,27.7950372208437,"ENSG00000065320/ENSG00000113580/ENSG00000066468","NTN1/NR3C1/FGFR2","GO_BP"
