"","symbol","group","logFC","AveExpr","t","PValue","FDR","B"
"ENSG00000163815","CLEC3B","protein_coding",-4.92744324138949,0.417708164845315,-10.5199183329429,2.84541611859217e-17,3.78833540162924e-13,28.6616990175205
"ENSG00000112425","EPM2A","protein_coding",-2.61597563998568,1.04750914549738,-10.3601923529233,6.05123012828395e-17,3.78833540162924e-13,27.8862725128756
"ENSG00000087258","GNAO1","protein_coding",-4.99585386051899,0.534397134692061,-10.2976221516623,8.13529434852378e-17,3.78833540162924e-13,27.6552795581322
"ENSG00000046653","GPM6B","protein_coding",-3.90015399163591,0.542535965653649,-10.0291418441357,2.90251354303008e-16,1.01370285490325e-12,26.4254121956036
"ENSG00000168309","FAM107A","protein_coding",-4.22651648082194,0.301763476884048,-9.8757262966437,6.01162988628739e-16,1.6796493902287e-12,25.7268795300868
"ENSG00000059915","PSD","protein_coding",-4.95842531889083,1.31548302206794,-9.46495845016034,4.23723954298272e-15,7.42111611336983e-12,23.8589542270467
"ENSG00000143603","KCNN3","protein_coding",-3.66417769028219,0.844117572418378,-9.46218257516776,4.29357549127928e-15,7.42111611336983e-12,23.8437195260093
"ENSG00000166831","RBPMS2","protein_coding",-4.47180676296096,0.22046003725195,-9.43958554306374,4.78096242092545e-15,7.42111611336983e-12,23.7374535337849
"ENSG00000186642","PDE2A","protein_coding",-3.49177118340801,0.909660531557277,-9.32748763968391,8.15073406948015e-15,1.04807240514212e-11,23.2251079074935
"ENSG00000172260","NEGR1","protein_coding",-4.31684718710404,0.714861999814089,-9.32487955788891,8.2525386231663e-15,1.04807240514212e-11,23.2196265601631
"ENSG00000075073","TACR2","protein_coding",-5.6151246488771,0.216537570011154,-9.29914760742012,9.32772562115283e-15,1.08590272439588e-11,23.09740177813
"ENSG00000113594","LIFR","protein_coding",-4.16735961491508,0.435554734763585,-8.87543005658097,7.00645841128399e-14,7.52924800043364e-11,21.1580281247155
"ENSG00000168497","CAVIN2","protein_coding",-4.49935424647182,1.68678202289889,-8.84012496233314,8.2875269066754e-14,8.2697679204468e-11,21.000648435102
"ENSG00000176533","GNG7","protein_coding",-3.42577888517784,0.314982356429157,-8.62397818585531,2.31529082313317e-13,2.15630751994469e-10,19.9859125119976
